"parameter","low_label","high_label","low","high","width"
"Maternal deaths cause-assigned per year","45","150",1130.64726497711,3768.82421659036,2638.17695161325
"Personnel and field workforce cost","-25%","+25%",1489.3562712347,2157.89297062694,668.536699392239
"Exchange rate","N1,600","N1,200",1572.87623555283,2097.16831407044,524.292078517611
"Completeness of cause assignment, KASSEP","0.80","1.00",1823.62462093082,2279.53077616352,455.906155232705
"Cause assignment under status-quo CRVS","0.10","0",1823.62462093082,2026.24957881202,202.624957881202
"Vehicle useful life","8 yr","3 yr",1776.09276211793,1908.54515482702,132.452392709094
"Field operations and VASA logistics cost","-25%","+25%",1778.30359864626,1868.94564321538,90.6420445691133
"Vehicle capital cost","N60m","N100m",1787.63041832395,1859.61882353769,71.9884052137347
"Discount rate","0%","10%",1804.31664855972,1844.08445117329,39.7678026135688
"Training and capacity building cost","-25%","+25%",1806.09306412858,1841.15617773306,35.0631136044881
"Technology and data infrastructure cost","-25%","+25%",1809.98896564019,1837.26027622145,27.2713105812686
